Day,Start Time,End Time,Division,Activity,Teams,Field,Volunteers
"Saturday","10:00","10:20","Lightweight Soccer","⚽ Flippant Potato vs Omni","Flippant Potato vs Omni","Soccer Field 5","Elena; Bob (General Ref)"
"Saturday","10:00","10:20","Lightweight Soccer","⚽ Polynices Bot vs Athena Robotics","Polynices Bot vs Athena Robotics","Soccer Field 6","Felix; Charlie (General Ref)"
"Saturday","10:00","10:10","Lightweight Soccer","💬 Trinity Interview","Trinity","Interview Table A","Alice (Simon Open Ref); Zara"
"Saturday","10:00","10:20","Open Soccer","⚽ Jeff Squad vs deepseeking attention","Jeff Squad vs deepseeking attention","Soccer Field 2","Nolan; Bianca"
"Saturday","10:00","10:10","Open Soccer","💬 Tom and Gerry Interview","Tom and Gerry","Interview Table B","Jasper; Malik"
"Saturday","10:00","10:10","Open Soccer","💬 Entropy Interview","Entropy","Interview Table C","Tessa; Emily (General Ref)"
"Saturday","10:00","10:20","Standard Soccer","⚽ Invincible Warriors vs SFX - SSR","Invincible Warriors vs SFX - SSR","Soccer Field 10","John (Simon Open Ref)"
"Saturday","10:00","10:20","Standard Soccer","⚽ CubeBot vs Ball Seekers","CubeBot vs Ball Seekers","Soccer Field 9","Rowan"
"Saturday","10:15","10:25","Lightweight Soccer","💬 C-A-R Go Vroom Vroom Interview","C-A-R Go Vroom Vroom","Interview Table C","Aria; David (Soccer Ref)"
"Saturday","10:25","10:45","Lightweight Soccer","⚽ Hyperion vs BundahBots","Hyperion vs BundahBots","Soccer Field 5","Bob (General Ref); Charlie (General Ref)"
"Saturday","10:25","10:45","Open Soccer","⚽ Battery Acid vs Entropy","Battery Acid vs Entropy","Soccer Field 1","Felix; Bianca"
"Saturday","10:25","10:45","Open Soccer","⚽ Robohampsters vs Lotus","Robohampsters vs Lotus","Soccer Field 2","Jasper; Zara"
"Saturday","10:25","10:45","Standard Soccer","⚽ Sytar Soccer vs Inspiration 1","Sytar Soccer vs Inspiration 1","Soccer Field 7","Elena"
"Saturday","10:25","10:45","Standard Soccer","⚽ Yakult Academy vs Soccer Bots","Yakult Academy vs Soccer Bots","Soccer Field 12","Priya"
"Saturday","10:25","10:45","Standard Soccer","⚽ ADVA vs D D D","ADVA vs D D D","Soccer Field 8","Sarah (Soccer Ref)"
"Saturday","10:25","10:45","Standard Soccer","⚽ KIC Potatoes vs TwoPowerSix","KIC Potatoes vs TwoPowerSix","Soccer Field 10","John (Simon Open Ref)"
"Saturday","10:30","10:40","Lightweight Soccer","💬 Triton Interview","Triton","Interview Table A","Tessa; Aria"
"Saturday","10:30","10:40","Lightweight Soccer","💬 Team Name Interview","Team Name","Interview Table B","Rowan; Nolan"
"Saturday","10:30","10:40","Standard Soccer","💬 CubeBot Interview","CubeBot","Interview Table C","Emily (General Ref)"
"Saturday","10:45","10:55","Lightweight Soccer","💬 Omni Interview","Omni","Interview Table A","Elena; Felix"
"Saturday","10:45","10:55","Lightweight Soccer","💬 BundahBots Interview","BundahBots","Interview Table B","Sarah (Soccer Ref); Malik"
"Saturday","10:45","10:55","Standard Soccer","💬 Yakult Academy Interview","Yakult Academy","Interview Table C","Jasper"
"Saturday","10:50","11:10","Lightweight Soccer","⚽ Triton vs Trinity","Triton vs Trinity","Soccer Field 6","David (Soccer Ref); John (Simon Open Ref)"
"Saturday","10:50","11:10","Lightweight Soccer","⚽ Team Name vs Tangent","Team Name vs Tangent","Soccer Field 5","Charlie (General Ref); Nolan"
"Saturday","10:50","11:10","Open Soccer","⚽ Typhoon vs TS","Typhoon vs TS","Soccer Field 3","Bianca; Priya"
"Saturday","10:50","11:10","Open Soccer","⚽ Magic smoke vs Hyperbot","Magic smoke vs Hyperbot","Soccer Field 2","Zara; Aria"
"Saturday","10:50","11:10","Open Soccer","⚽ The Dugongs vs Tom and Gerry","The Dugongs vs Tom and Gerry","Soccer Field 1","Emily (General Ref); Tessa"
"Saturday","10:50","11:10","Standard Soccer","⚽ 4A1I vs Tech Support","4A1I vs Tech Support","Soccer Field 7","Rowan"
"Saturday","10:50","11:10","Simple Simon Soccer","⚽ Brissie Bananas vs OSPS - Team Beetle Bot","Brissie Bananas vs OSPS - Team Beetle Bot","Soccer Field 11","Alice (Simon Open Ref)"
"Saturday","11:15","11:35","Lightweight Soccer","⚽ C-A-R Go Vroom Vroom vs Legacy","C-A-R Go Vroom Vroom vs Legacy","Soccer Field 5","Zara; Jasper"
"Saturday","11:15","11:35","Open Soccer","⚽ Devious Dogs vs Aurora","Devious Dogs vs Aurora","Soccer Field 1","Sarah (Soccer Ref); Priya"
"Saturday","11:15","11:35","Open Soccer","⚽ Open Legends vs Mechanical Ragebaiters","Open Legends vs Mechanical Ragebaiters","Soccer Field 3","Alice (Simon Open Ref); David (Soccer Ref)"
"Saturday","11:15","11:25","Open Soccer","💬 The Dugongs Interview","The Dugongs","Interview Table A","Aria; Emily (General Ref)"
"Saturday","11:15","11:25","Open Soccer","💬 deepseeking attention Interview","deepseeking attention","Interview Table C","Tessa; Charlie (General Ref)"
"Saturday","11:15","11:35","Standard Soccer","⚽ To Tall To Fall vs AERYX","To Tall To Fall vs AERYX","Soccer Field 10","Felix"
"Saturday","11:15","11:35","Standard Soccer","⚽ Bundy Botz vs TPS Soccerbots","Bundy Botz vs TPS Soccerbots","Soccer Field 9","Bianca"
"Saturday","11:15","11:35","Standard Soccer","⚽ Insert Name Here vs Low taper fade","Insert Name Here vs Low taper fade","Soccer Field 8","Rowan"
